,Return,Return-7,Return+1,Return-30,target_multi,target_bin,Month,DayOfW,Return_eth,Return_bnb,Return_ada,Return_lite,Trend_Bitcoins,R_eth,R_bnb,R_ada,R_lite,Date,avg-block-size,cost-per-transaction,hash-rate,miners-revenue,mvrv,my-wallet-n-users,n-transactions-per-block,nvt,transaction-fees-usd
14,4.9786,19.7266,2.449,70.6622,1.0,1.0,11,0,1.8714,3.8566,38.1605,6.6516,17.55,0.6646786690431107,0.8916482469683825,0.9221576296740721,0.8952488456549716,2017-11-27,,,,,,,,,
15,2.396,24.6249,-1.6919,63.4554,0.0,0.0,11,1,-1.585,-2.1308,136.522,4.6987,21.84,0.3387500752226646,0.8816795631417038,0.761462238217906,0.8993922575588257,2017-11-28,,,,,,,,,
16,-1.8734,19.8104,3.4888,61.3011,1.0,1.0,11,2,-9.6683,-8.9802,-24.1189,-10.8751,39.0,-0.1563375442170171,0.02958136216694454,0.8222289338840654,0.4282705712115596,2017-11-29,,,,,,,,,
17,3.2988,27.3031,7.2506,58.2091,1.0,1.0,11,3,3.687,13.3714,26.2857,2.4163,31.200000000000006,-0.3356578776019284,0.4580218785940652,0.9003512809956087,0.4292078169637846,2017-11-30,,,,,,,,,
18,7.6187,32.9781,0.902,62.1856,0.0,1.0,12,4,4.7912,3.6696,12.6306,12.4997,34.0,0.1287518249089606,0.7421424546270453,0.727410039038145,0.6761479967969369,2017-12-01,,,,,,,,,
19,0.8772,25.9777,2.2448,56.454,1.0,1.0,12,5,-0.7287,0.3418,0.5455,1.3569,23.0,0.5397079416025526,0.8831051899050959,0.821349657238884,0.8225058635698238,2017-12-02,,,,,,,,,
20,2.17,21.3562,2.9497,57.0974,1.0,1.0,12,6,0.4632,6.8015,-0.411,1.0659,22.0,0.9530988717972129,0.9308453857196578,0.8947449659535311,0.9912313975905838,2017-12-03,,,,,,,,,
21,3.0207,18.7287,2.2261,57.9577,1.0,1.0,12,0,0.8905,10.3446,3.2871,2.8009,28.0,0.9394398098176481,0.8625071947110179,0.9577225302386112,0.9784087144697334,2017-12-04,,,,,,,,,
22,1.9768,18.4704,19.9283,60.8754,1.0,1.0,12,1,-1.4912,3.7369,-5.9996,-1.8029,28.0,0.06316789283070093,0.9926034885314651,-0.2484260025959946,0.8333423940080649,2017-12-05,,,,,,,,,
23,19.8609,44.5249,25.2472,103.5026,1.0,1.0,12,2,-7.3532,0.2814,-7.0289,-2.0746,42.0,-0.9480822800194962,0.667053480784052,-0.9141216821462649,-0.2823518339305351,2017-12-06,,,,,,,,,
24,25.4702,74.9111,-7.432,150.5424,-1.0,0.0,12,3,1.8855,9.0433,-10.4147,-1.692,100.0,-0.8257470118974548,0.7945749748043746,-0.9703942473422776,-0.8558305112482386,2017-12-07,,,,,,,,,
25,-6.9286,50.9658,-8.3962,122.1192,-1.0,0.0,12,4,4.8374,2.3343,8.7835,26.9688,85.0,-0.634863676740751,0.9010120612653091,-0.9511808117488725,0.23774275235884423,2017-12-08,,,,,,,,,
26,-8.1406,37.0542,1.8263,112.4733,0.0,1.0,12,5,3.533,-7.6287,4.239,21.7785,54.0,-0.33501987188496535,0.7987879349271579,-0.9453285954486831,0.10099678584605155,2017-12-09,,,,,,,,,
